代码,名称,选中日期,选中当日涨跌幅,选中1日涨跌幅,选中2日涨跌幅,选中3日涨跌幅,选中4日涨跌幅,选中5日涨跌幅,选中6日涨跌幅,选中7日涨跌幅,选中8日涨跌幅,选中9日涨跌幅,选中10日涨跌幅
300986,志特新材,2021-07-07T00:00:00+08:00,13.65,-2.93,3.26,-4.89,1.18,-1.73,8.58,-2.27,-6.49,-3.76,4.07
300986,志特新材,2021-10-27T00:00:00+08:00,11.24,4.63,0.29,-1.31,4.01,6.76,2.12,5.63,-2.52,-5.55,0.72
300986,志特新材,2021-11-11T00:00:00+08:00,11.87,1.5,-2.83,-7.36,-0.6,0.91,-0.55,-1.5,-1.24,0.74,-1.81
300984,金沃股份,2021-06-18T00:00:00+08:00,83.18,-8.25,2.27,-5.64,-0.92,-3.58,0.33,-2.43,0.64,-0.27,-4.01
300984,金沃股份,2021-11-05T00:00:00+08:00,11.17,2.33,14.11,-5.99,-0.49,0.09,1.38,-2.71,1.36,-0.11,-0.83
300984,金沃股份,2021-11-09T00:00:00+08:00,14.11,-5.99,-0.49,0.09,1.38,-2.71,1.36,-0.11,-0.83,0.13,-0.51
300987,川网传媒,2021-05-11T00:00:00+08:00,655.38,36.48,-18.43,-5.78,3.75,-1.43,-8.94,-1.24,3.52,6.58,8.52
300987,川网传媒,2021-05-12T00:00:00+08:00,36.48,-18.43,-5.78,3.75,-1.43,-8.94,-1.24,3.52,6.58,8.52,-4.71
300987,川网传媒,2021-09-15T00:00:00+08:00,20.01,-1.86,-1.38,-2.53,-1.53,9.14,2.85,-3.77,-3.07,0.94,-1.03
300987,川网传媒,2021-11-11T00:00:00+08:00,12.01,-5.06,5.7,20.01,-3.61,13.5,-4.19,-0.99,-1.99,20.0,-11.34
300987,川网传媒,2021-11-16T00:00:00+08:00,20.01,-3.61,13.5,-4.19,-0.99,-1.99,20.0,-11.34,-5.05,0.72,-2.94
300987,川网传媒,2021-11-18T00:00:00+08:00,13.5,-4.19,-0.99,-1.99,20.0,-11.34,-5.05,0.72,-2.94,5.3,-7.05
300987,川网传媒,2021-11-24T00:00:00+08:00,20.0,-11.34,-5.05,0.72,-2.94,5.3,-7.05,-0.57,3.54,7.65,3.28
300990,同飞股份,2021-05-12T00:00:00+08:00,20.96,-12.32,-4.34,-0.67,-2.26,-2.09,0.05,-2.46,-1.68,0.2,2.4
300990,同飞股份,2021-07-26T00:00:00+08:00,13.7,17.12,-6.28,2.28,1.73,-1.35,-4.69,15.39,20.0,-9.05,-1.93
300990,同飞股份,2021-07-27T00:00:00+08:00,17.12,-6.28,2.28,1.73,-1.35,-4.69,15.39,20.0,-9.05,-1.93,-2.58
300990,同飞股份,2021-08-04T00:00:00+08:00,15.39,20.0,-9.05,-1.93,-2.58,3.65,-2.55,-4.79,0.03,-4.49,-3.4
300990,同飞股份,2021-08-05T00:00:00+08:00,20.0,-9.05,-1.93,-2.58,3.65,-2.55,-4.79,0.03,-4.49,-3.4,-0.15
